report,part failure
THE FLIGHT CREW REPORTED THAT IN FLIGHT RECEIVING A CAS MESSAGE INDICATING THAT THE LEFT WING ANTI-ICE SYSTEM FAILED. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE LEFT PYLON PRSOV (VD002) WAS DEFECTIVE. THE DEFECTIVE VALVE WAS REMOVED AND A SERVICEABLE CONDITION VALVE WAS INSTALLED. LEAK CHECK AND FUNCTIONAL CHECKS SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,ANTICE SYSTEM DEFECTIVE
THE FLIGHT CREW REPORTED THAT IN FLIGHT WHEN THE AIRCRAFT WAS COLD SOAKED THE RIGHT TAIL DEICE FAILED. THE MAINTENANCE VENDOR DETERMINED THAT THE RIGHT TAIL DEICE BOOT HAD FAILED. THE DEFECTIVE BOOT WAS REMOVED AND A NEW BOOT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,TAIL DE ICE FAILED
"THE FLIGHT CREW REPORTED THAT DURING FLIGHT A CAS MESSAGE WAS DISPLAYED INDICATING ""FAULT CODE"" AND ""DEGRADED GAUGING"". THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE LEFT OTBD WING TANK GAUGE (L40QJ) WAS DEFECTIVE AND WAS REPLACED WITH NEW. FUNCTIONAL TEST AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.",FUEL SYSTEM DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING ENGINE START AN AMBER RIGHT ENGINE COMPUTER ANNUNCIATOR ILLUMINATED. THE MAINTENANCE TEAM DOWNLOADED THE ENGINE COMPUTER AND TROUBLESHOT PER THE PRATT AND WHITNEY MANUAL. IT WAS DETERMINED THAT UPPER AND LOWER EXCITER BOXES FAULTY. BOTH BOXES WERE REMOVED AND REPLACED WITH NEW. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT AS RETURNED TO SERVICE.,RT ENGINE DEFECTIVE
THE FLIGHT CREW REPORTED THAT ON PREFLIGHT CHECKS THAT THE RUDDER BIAS CONTROLS FELT VERY WEAK ON BOTH SIDES. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THAT THE RUDDER BIAS ACTUATOR WAS DEFECTIVE. THE RUDDER BIAS ACTUATOR WAS REMOVED AND REPLACED WITH AN OVERHAULED UNIT. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,RUDDER DEFECTIVE
"THE FLIGHT CREW REPORTED THAT THE ACM OVERHEAT ANNUNCIATOR ILLUMINATED ON DESCENDING THROUGH 14,000 FT. THE FLIGHT CREW RUN THE QRH ABNORMAL CHECKLIST. THE WARNING WENT OUT A 6,000 FT. THE LANDING WAS NORMAL. THE MAINTENANCE VENDOR VERIFIED FOR PNEUMATIC LEAKS, NONE NOTED. ACCOMPLISHED ECS TEMP CONTROL DIAGNOSTIC SELF TEST, NO FAULT CODES. COMPLIED WITH TROUBLESHOOTING AND NOTED THE 35 DEGREE SWITCH OUT OF LIMITS. INSTALLED A NEW 35 DEGREE SWITCH. OPS CHECKS SATISFACTORY, NO LEAKS, NO FAULTS. AIRCRAFT RETURNED TO SERVICE.",ACM TEMP DEFECTIVE
DURING MAINTENANCE GROUND CHECKS THE MAINTENANCE TEAM DISCOVERED THAT THE ELECTRICAL EXTERNAL GROUND POWER WOULD NOT ENERGIZE AIRCRAFT SYSTEMS. TROUBLESHOOTING DETERMINED THAT THE GROUND POWER CONTACTOR RELAY WAS DEFECTIVE. REMOVED AND REPLACED WITH A NEW GROUND CONTACTOR RELAY P/N M83536-10-024L. OPERATIONAL CHECKS SATISFACTORY,GROUND POWER DEFECTIVE
THE FLIGHT CREW REPORTED OF AN INTERMITTENT RIGHT ELECTRONIC ENGINE CONTROL ANNUNCIATOR WHILE IN FLIGHT. THE FLIGHT CREW RAN THE APPROPRIATE CHECKLIST. LANDING WAS UNEVENTFUL. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE TORQUE MOTOR WAS INOP. P/N 30J3491-01 S/N TR6337CPWAZ129. A NEW TOQUE MOTOR WAS INSTALLED. OPS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,RT ENGINE INOPERATIVE
THE FLIGHT CREW REPORTED THAT THE AUTO-PILOT KICKED OFF IN FLIGHT AT THE TOP OF DESCENT. THE MAINTENANCE PROVIDER REMOVED THE NO2 FLIGHT GUIDANCE COMPUTER P/N 822-1108-143 S/N 3N3BX AND INSTALLED AN OVERHAULED FGC. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,FLT CONTROL DEFECTIVE
THE FLIGHT CREW REPORTED A RIGHT ENGINE TEMP LOW ANNUNCIATOR WHILE IN FLIGHT AND REMAINED ILLUMINATED WITH N2 AT 82%. THEY INDICATED THE ITT DID SHOW A RISE DURING SWITCH OPERATION. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THE ENGINE ANTI-ICE VALVE WAS DEFECTIVE. THE DEFECTIVE VALVE WAS REMOVED AND AN OVERHAULED UNIT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,ENGINE DEFECTIVE
THE FLIGHT CREW REPORTED THAT AFTER TAKEOFF THE PRESSURIZATION AUTO MODE FAILED.  THE FLIGHT CREW INDICATED THE CABIN RATE INDICATED A DECREASE OF UPWARDS OF 6000FPM WHILE AT 1500AGL.  THE FLIGHT CREW ELECTED TO DIVERT THE FLIGHT AND LAND TO HAVE THE DISCREPANCY CORRECTED.  THE LANDING WAS UNEVENTFUL.  THE MAINTENANCE VENDOR DETERMINED THE PRIMARY OUTFLOW VALVE WAS DEFECTIVE AND REQUIRES REPLACEMENT.  THE OUTFLOW VALVE WAS REPLACED WITH NEW.  OPERATION CHECKS WERE SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.,CABIN PRESSURE ERRATIC
THE FLIGHT CREW REPORTED THAT DURING FLIGHT THE GEN 2 BEARING FAIL EICAS MESSAGE ILLUMINATED. THE MAINTENANCE VENDOR DETERMINED THAT NO2 DC GEN WAS DEFECTIVE.  THE DEFECTIVE DC GEN WAS REMOVED AND AN OVERHAULED GEN WAS INSTALLED.  GROUND RUNS AND OPS CHECKS WERE SATISFACTORY.  THE AIRCRAFT THEN WAS RETURNED TO SERVICE.,DC DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING FLIGHT WITH HYDRAULIC SYSTEM ON NO1 RUDDER SYSTEM CAUTION ILLUMINATED ON EICAS. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THAT THE NO1 RUDDER PRESSURE SWITCH TO BE DEFECTIVE. THE SWITCH WAS REMOVED AND A NEW PRESSURE SWITCH WAS INSTALLED. OPS AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,HYD SYSTEM DEFECTIVE
THE FLIGHT CREW REPORTED THAT THE CABIN ENVIRONMENTAL TEMP REMAINED COLD DESPITE A HOT TEMP SELECTED ON THE AUTO-CONTROLLER.  THE MAINTENANCE TEAM DETERMINED THAT THE CABIN TEMP CONTROLLER BOX WAS DEFECTIVE.  THE CONTROL BOX WAS REMOVED AND A NEW CABIN TEMP CONTROL BOX WAS INSTALLED.  FUNCTIONAL CHECKS WERE SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.,CABIN TEMP DEFECTIVE
THE FLIGHT CREW REPORTED THAT A CAS MESSAGE WAS DISPLAYED ON DECENT INDICATING A FAULT WITH THE LEFT COWL VALVE IN THE OPEN POSITION. THE MAINTENANCE TEAM TROUBLESHOT AND FOUND THAT THE LEFT COWLING ANTI-ICE VALVE HAD FAILED. THE FAILED VALVE WAS REMOVED AND A NEW VALVE WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,LT ENGINE FAILED
THE FLIGHT CREW REPORTED RECEIVING AN INTERMITTENT CAUTION LIGHT FLAP ASYMMETRY ANNUNCIATOR IN ALL PHASES OF FLIGHT. YELLOW MASTER CAUTION ASSOCIATED. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE LEFT FLAP FOLLOW UP SWITCH WAS DEFECTIVE. THE DEFECTIVE SWITCH WAS REMOVED AND AN OVERHAULED UNIT WAS INSTALLED AND ADJUSTED. OPS CHECKS WERE SATISFACTORY THE AIRCRAFT WAS THEN RETURNED TO SERVICE,FLAP SYSTEM DEFECTIVE
THE MAINTENANCE TEAM DISCOVERED DURING POST FLIGHT CHECKS AN HYDRAULIC LEAK COMING FROM THE MAIN LANDING GEAR WHEEL WELL AREA. TROUBLESHOOTING DETERMINED THE RIGHT MAIN LANDING GEAR DOOR HYDRAULIC LINE LEAKING (P/N 5407002-340) A NEW HYDRAULIC LINE WAS INSTALLED. FUNCTIONAL AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,HYD SYSTEM LEAKING
THE FLIGHT CREW NOTED DURING THE PREFLIGHT THE LEADING EDGE OF  THE RIGHT STRAKE LOOSE. THE MAINTENANCE VENDOR GAINED ACCESS AND FOUND THE RIGHT STRAKE FORWARD BRACKET AT STATION 16024.0 BROKEN. BRACKET P/N 7AS3170520-026. A NEW ATTACHMENT BRACKET WAS INSTALLED PER AMM. AIRCRAFT WAS RETURNED TO SERVICE.,ZONE 100 BROKEN
THE MAINTENANCE TEAM DISCOVERED THE LEFT AOA HEAT FAIL AMBER CAS MESSAGE ILLUMINATED WITH LEFT PROBE SWITCH ON. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE LEFT AOA TRANSMITTER WAS DEFECTIVE. THE AOA TRANSMITTER WAS REMOVED AND REPLACED WITH A NEW UNIT. OPS CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,LEFT DEFECTIVE
"THE FLIGHT CREW REPORTED THAT A ""STAB TRIM FAIL"" CAS MESSAGE ILLUMINATED AND THEN CLEARED IN FLIGHT. THE MAINTENANCE TEAM TROUBLESHOT AND FOUND THAT STABILIZER TRIM ELECTRONIC CONTROL MODULE WAS DEFECTIVE. THE UNIT WAS REMOVED AND A INSPECTED/TESTED UNIT WAS INSTALLED. OPS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.",STAB TRIM DEFECTIVE
THE FLIGHT CREW REPORTED THAT THE APU FAILED TO START WHEN COMMANDED. THE MAINTENANCE VENDOR DETERMINED THAT THE APU INLET DOOR ACTUATOR WAS FAULTY. THE ACTUATOR WAS REPLACED WITH A REPAIRED ACTUATOR AND ADJUSTED AS NEEDED. OPS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,APU INLET DOOR FAILED
"THE FLIGHT CREW REPORTED THAT THE LH OIL PRESSURE INDICATOR ""TAPE JUMPS"". THE MAINTENANCE TEAM DETERMINED THAT THE LEFT ENGINE OIL PRESSURE TRANSMITTER WAS DEFECTIVE. A NEW TRANSMITTER WAS INSTALLED FUNCTIONAL AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.",OIL PRESSURE FAULTED
"THE FLIGHT CREW REPORTED UPON POST FLIGHT INSPECTION, NOTICED POOL OF HYDRAULIC FLUID ON GROUND NEAR LEFT MAIN BRAKE, AND FLUID ON BRAKE LINES DRIPPING. THE MAINTENANCE TEAM DISCOVERED THAT THE LEFT BRAKE SHUTTLE VALVE WAS LEAKING. THE VALVE WAS REMOVED AND RESEALED WITH NEW ORINGS. THE VALVE WAS REINSTALLED AND THE SYSTEM BLED. OPS AND LEAK CHECKS SATISFACTORY.",HYD SYSTEM LEAKING
DURING PREFLIGHT CHECKS THE FLIGHT CREW REPORTED RECEIVING A ACM BLEED LEAK ANNUNCIATOR WHILE ON THE GROUND TWICE TRIPPING THE APU TWICE. THE MAINTENANCE VENDOR FOUND THE LEAK DETECTION ELEMENTS (TT015 AND TT116) TOUCHING IN THE KEEPER. REPOSITION ELEMENT AND CIGARETTE AND RESECURED. PERFORMED A SATISFACTORY OPS CHECK OF THE FIRE DETECT ELEMENT  WITH NO DEFECTS FOUND. AIRCRAFT RETURNED TO SERVICE,ACM OUT OF POSITION
THE FLIGHT CREW REPORTED A BLEED AIR LEAK IN THE ACM BAY DURING FLIGHT. THE MAINTENANCE VENDOR REPLACED THE O-RINGS ON BOTH ENDS OF THE LOW LIMIT BLEED DUCT ASSYS WERE REPLACED WITH NEW O-RINGS.,ACM LEAKING
THE FLIGHT CREW REPORTED THAT THE LEFT BOOST PUMP LIGHT WOULD NOT EXTINGUISH DURING BEFORE TAXI CHECKS. MOMENTARY FLASH OF LEFT FUEL PRESSURE LOW ANNUNCIATOR WHEN CYCLING THE BOOST PUMP SWITCH. THE MAINTENANCE TECH DETERMINED THE CIRCUIT CARD ASSY WAS DEFECTIVE AND WAS REPLACED WITH NEW CARD. OPS CHECKS SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,BOOST PUMP DEFECTIVE
"THE FLIGHT CREW REPORTED THAT DURING FLIGHT RECEIVED AN ENGINE CONTROL FAULT RIGHT ENGINE CAS MESSAGE ILLUMINATED. THE FLIGHT CREW RAN THE APPROPRIATE CHECKLIST. THE MESSAGE DID NOT CLEAR AND THE FLIGHT CONTINUED TO DESTINATION, NO FURTHER ISSUES AND LANDED WITHOUT INCIDENT. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE RIGHT THRUST REVERSER LATCH SWITCHES S3 AND S5 HAD HIGH RESISTANCE. BOTH SWITCHES WERE REPLACED WITH NEW MICRO-SWITCHES AND RIGGED AS REQUIRED. OPS CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.",THRUST REVERSER DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING PREFLIGHT CHECKS THAT THE LEFT ENGINE FUEL FLOW INDICATOR WAS READING ZERO WITH THE ENGINE RUNNING. THIS DISCREPANCY CAUSED THE FLIGHT TO BE CANCELLED. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THAT THE LEFT ENGINE FUEL FLOW TRANSMITTER WAS DEFECTIVE. THE MAINTENANCE VENDOR REPLACED THE TRANSMITTER WITH AN OVERHAULED UNIT. OPS AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL FLOW FAULTED
THE FLIGHT CREW REPORTED THAT DURING THE POST FLIGHT CHECKS THE NO1 BRAKE WAS HOTTER THEN THE OTHER 3 WHEEL BRAKES. THE MAINTENANCE VENDOR REPLACED THE NO1 BRAKE WITH AN OVERHAULED UNIT. OPS CHECKS SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,NR 1 OVERHEATED
"THE FLIGHT CREW REPORTED THAT DURING PREFLIGHT CHECKS THEY RECEIVED A WING ANTI-ICE VALVE FAULT INDICATION. THIS FAULT CAUSED THE FLIGHT TO BE CANCELLED. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE RIGHT PRESSURE SWITCH ""R5DL"" DEFECTIVE. THE PRESSURE SWITCH WAS REPLACED THE SWITCH WITH NEW PART NUMBER SWITCH. FUNCTIONAL CHECKS WERE SATISFACTORY. THIS AIRCRAFT WAS RETURNED TO SERVICE.",ANTI ICE SYS DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING POST-FLIGHT CHECKS FLUID LEAKING FROM OUT OF THE RIGHT MAIN LANDING GEAR ACTUATOR. THE MAINTENANCE VENDOR FOUND THE RIGHT MLG ACTUATOR LEAKAGE WAS OUT OF LIMITS. THE RIGHT MLG ACTUATOR WAS REMOVED AND A TESTED ACTUATOR WAS INSTALLED. FUNCTIONAL CHECKS AND LEAK CHECKS GOOD AT THIS TIME. THE AIRCRAFT WAS RETURNED TO SERVICE.,MLG LEAKING
"THE NO2 ENGINE FAILED TO START AND THE FLIGHT CREW RECEIVED AN AMBER ENGINE COMPUTER LIGHT, THE FLIGHT CREW RAN THE CHECKLIST PROCEDURES AND COMPUTER LIGHT EXTINGUISHED. THE MAINTENANCE VENDOR TROUBLESHOT AND SUSPECTED A FAULT WITH THE HYDRO-MECHANICAL UNIT (HMU) AND DUMP VALVE. THE MAINTENANCE VENDOR WAS INSTRUCTED TO SWAP HMUS FROM ENGINE TO ENGINE, AND REPLACED THE NO2 ENGINE DUMP VALVE WITH AN OVERHAULED UNIT. FUNCTIONAL AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.",FUEL SYSTEM FAULTY
THE FLIGHT CREW REPORTED ON POST FLIGHT CHECKS THAT THE NO3 (RH INBD) TIRE HAD LOST THE OUTBOARD TREAD SECTION. IT WAS NOT NOTED IF THE TIRE SECTION DEPARTED ON TAKEOFF OR LANDING. THE MANUFACTURE OF TIRE WAS NOTIFIED OF TIRE FAILURE. THE MAINTENANCE VENDOR REMOVED THE WHEEL ASSY AND REPLACED IT WITH AN OVERHAULED UNIT. TIRE HAD 310.4 HRS AND 103 LANDINGS ON IT AT THE TIME OF FAILURE.,RT MLG FAILED
THE FLIGHT CREW REPORTED THAT THE NAVIGATION SYSTEM FMS NO2 WAS UNABLE TO SYNC WITH THE FMS NO1. ARINC/WAAS TEST FAIL. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE #2 FMS WAS DEFECTIVE. A MODIFIED UNIVERSAL AVIONICS UNS1EW FMS WAS INSTALLED INTO THE NO2 POSITION. FUNCTIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,NR 2 FAULT MESSAGE
"THE MAINTENANCE TEAM DISCOVERED DURING THE POSTFLIGHT CHECKLIST THE LEFT PYLON LOWER SHIN HAD A 3 INCH LONG CRACK. THE LEFT LOWER PYLON PANEL WAS REMOVED, A REPAIR WAS FABRICATED AND INSTALLED ON THE PYLON PANEL. THE PANEL WAS REINSTALLED ONTO AIRCRAFT AND THE AIRCRAFT WAS REINSTALLED. WORK WAS DONE IAW THE BEECHJET MODEL 400 SRM 51-02-00, 51-50-15, 51-40-01, 51-43-00",LT PYLON CRACKED
THE FLIGHT CREW REPORTED THAT UPON APPLYING BRAKES AFTER LANDING THE LEFT BRAKE WAS MAKING LOUD GRINDING SOUNDS AND TRIGGERED THE ANTI-SKID ANNUNCIATOR ON THE LEFT SIDE. THEY REPORTED THAT THIS ONLY HAPPENED AT HIGH SPEED AND CANT FEEL OR HEAR IT ON TAXI. THE MAINTENANCE VENDOR REMOVED THE NO2 MAIN LANDING GEAR BRAKE ASSEMBLY P/N 2-1675-1 S/N 1281 AND INSTALLED AN OVERHAULED BRAKE ASSY. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,NR 2 FAILED
THE FLIGHT CREW REPORTED THAT DURING FLIGHT THE COPILOTS A WINDSCREEN DID NOT HEAT. THE MAINTENANCE TEAM DETERMINED THAT THE THERMAL CONTROLLER WAS DEFECTIVE. THE DEFECTIVE CONTROLLER WAS REMOVED AND A NEW UNIT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,WINDOW HEAT DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING PRE-FLIGHT CHECKS THAT THE LEFT FORWARD FUEL SUMP VALVE WOULD NOT SPRING BACK CLOSED. THE MAINTENANCE TEAM REMOVED AND REPLACED THE DEFECTIVE SUMP VALVE (P/N 72D4X) OPS AND LEAK CHECKS SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL SYSTEM LEAKING
"THE FLIGHT CREW REPORTED UNCOMMANDED GEAR MOVEMENT. AFTER TAKEOFF THE FLIGHT CREW DESCRIBED THAT THE GEAR HANDLE WAS SELECTED TO THE UP POSITION AND THE GEAR BEGAN TO RETRACT, BUT THE MAIN LANDING GEAR THAN STARTED TO EXTEND TO DOWN AND LOCKED AND THEN RETRACTED ONCE AND AGAIN AND THEN BACK DOWN, 4 TIMES IN TOTAL. FINALLY THE LANDING GEAR STAYED UP AND LOCKED. THE FLIGHT CONTINUED AND NO LANDING GEAR FAULTS WERE NOTED DURING EXTENSION. LANDING WAS WITHOUT EVENT. THE MAINTENANCE PROVIDER TROUBLESHOT AND DETERMINED THE LANDING GEAR CONTROL WAS DEFECTIVE. AN OVERHAULED UNIT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.",MLG FAULTED
THE FLIGHT CREW REPORTED THAT DURING APU OPERATIONS A LOW FREQUENCY VIBRATION ALONG WITH THE SMELL OF BURNT OIL FROM THE APU BLEED AIR. THE MAINTENANCE VENDOR DETERMINED THAT THE APU STARTER/GEN CAUSING THE VIBRATION. THE STARTER/GEN WAS REMOVED (TOTAL TIME IN SERVICE 471.3 HRS) AN OVERHAULED UNIT WAS INSTALLED AFTER THE INSTALLATION OF NEW PAD SEAL.,APU VIBRATION
THE FLIGHT CREW REPORTED THAT ON TAKEOFF THE NOSE WHEEL STEERING FAIL ANNUNCIATOR ILLUMINATED. ALL THREE GEAR INDICATION LIGHTS WERE WHITE. THE CREW RAN THE APPLICABLE QRH WHICH SOLVED THE PROBLEM. THE FLIGHT COMPLETED SAFELY. THE NOSE WHEEL STRUT WAS FOUND TO LOW UPON LANDING. THE MAINTENANCE VENDOR FOUND THE NOSE STRUT FLAT UPON VISUAL INSPECTION WITH NO FLUID LEAKAGE NOTED. THE NOSE STRUT WAS RESERVICED WITH DRY NITROGEN PER THE AMM. NOSE WHEEL STEERING CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,NLG LOW PRESSURE
"THE FLIGHT CREW REPORTED FINDING FUEL LEAKING FROM TAILCONE NEAR THE TAIL SKID. THE MAINTENANCE VENDOR INVESTIGATED BY OPENING SEVERAL ACCESS PANELS FOR THE TAILCONE. NO LEAK AS FOUND. FURTHER INVESTIGATION DETERMINED A BELLY FUEL TANK SUMP WAS INTERMITTENTLY, THIS SUMP IS THOUGHT TO HAVE BEEN LEAKING FUEL DURING FLIGHT AND THEN FLOWING BACK TO THE TAILCONE AREA. THE SUMP WAS CLEARED OF THE DEBRIS ALLOWING FOR A GOOD SEAL. AIRCRAFT ENGINES WERE RUN WITH BOOST PUMPS ON. NO LEAKAGE NOTED. THE AIRCRAFT WAS RETURNED TO SERVICE.",MAIN FUEL TANK INTERMITTENT
"THE FLIGHT CREW REPORTED THAT THE CABIN DOOR LOCK INDICATION CAME ON AFTER TAKEOFF. THE FLIGHT CREW OPTED TO DIVERT BACK TO THE AIRPORT FOR LANDING AND MAINTENANCE CONSIDERATIONS. THE LANDING WAS UNEVENTFUL. THE DOOR LOCK INDICATION SYSTEM WAS DEFERRED PER MEL AND THE FLIGHT WAS CONTINUED. CORRECTIVE ACTIONS BY THE MAINTENANCE TEAM DETERMINED THAT THE DOOR LATCHING MECHANISM REQUIRED CLEANING AND LUBRICATION. GROUND OPERATIONAL CHECKS WERE SATISFACTORY, MEL WAS CLEARED AND THE AIRCRAFT WAS RETURNED TO SERVICE.",PAX DOOR DIRTY
THE FLIGHT CREW REPORTED DURING PREFLIGHT CHECKS THE LOWER (L) PRE-CHECK LEVER WAS LEAKING FUEL. THE PLANNED FLIGHT WAS CANCELLED. THE MAINTENANCE VENDOR REMOVED AND REPLACED THE PRE-CHECK VALVE ASSEMBLY WITH A NEW UNIT. OPERATION AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL SYSTEM LEAKING
THE FLIGHT CREW REPORTED THAT AFTER TAKEOFF AND GEAR RETRACTION A GEAR UNSAFE INDICATION AFTER SUCCESSFUL RETRACTION. THEY RECYCLED THE LANDING GEAR WITH NO IMPROVEMENT. AFTER RUNNING THE CHECKLIST THE CREW ELECTED TO DIVERT BACK TO KPBI FOR LANDING AND REPAIRS. THE LANDING WAS UNEVENTFUL. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE RIGHT FORWARD GEAR UPLOCK SWITCH WAS DEFECTIVE P/N 4AS8135500-503 A NEW SWITCH WAS INSTALLED AND RIGGED. OPS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE,RT MLG DEFECTIVE
THE FLIGHT CREW REPORTED THAT A SMALL PIECE OF CO-PILOTS OXYGEN MASK SEPARATED FROM THE MASK ASSEMBLY. THE PLANNED FLIGHT WAS CANCELLED. THE MAINTENANCE TEAM REMOVED THE DEFECTIVE CO-PILOTS OXYGEN P/N 174252-92 S/N10710 AND INSTALLED AN OVERHAULED MASK ASSEMBLY. THE AIRCRAFT WAS RETURNED TO SERVICE. TOTAL TIME IN SERVICE 709.3 HRS,COCKPIT BROKEN
THE FLIGHT CREW REPORTED UPON AIRCRAFT SHUTDOWN FOUND THE MFD NO1 REMAINED POWERED ON AFTER AIRCRAFT BATTERIES WERE TURNED OFF. THE MAINTENANCE VENDOR TROUBLESHOT AND FOUND RELAYS 3931K3 AND 3931K4 DEFECTIVE. THE RELAYS WERE REPLACED WITH NEW. FUNCTIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,DISPLAY FAILED
THE FLIGHT CREW REPORTED THE ENVIRONMENTAL CONTROLLER WOULD NOT WORK IN AUTO MODE. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THE CABIN TEMP SENSOR FAN WAS DEFECTIVE. A NEW CONDITION FAN WAS INSTALLED. FUNCTIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,CABIN AIR DEFECTIVE
"THE FLIGHT CREW REPORTED THE THE LEFT PILOTS SEAT MOVEMENT LEVER WOULD NOT ALLOW THE SEAT TO BE MOVED FORWARD OR BACKWARD. SEAT WAS LOCKED TO SEAT TRACKS. THE MAINTENANCE VENDOR DISCOVERED A BROKEN BELLCRANKS P/N 1B1421-3 AND 1B1421-5. INSTALLED NEW PARTS, OPS CHECKS GOOD. AIRCRAFT WAS RETURNED TO SERVICE.",PILOT'S SEAT BROKEN
"THE FLIGHT CREW REPORTED DURING FLIGHT RECEIVING AN AMBER ENGINE CONTROL FAULT RIGHT SIDE WHEN THE ANTI-ICE WAS TURNED ON. THE MAINTENANCE VENDOR TROUBLESHOT AND FOUND FAULT CODE VT ACTIVE. TROUBLESHOOTING WIRING AND FOUND CHANNEL B OTBD WING ANTI-ICE CIRCUIT RESISTANCE HIGH. CONNECTOR PE008 WAS REMOVED, THE PINS AND SOCKETS WERE CLEANED. REINSTALLED CONNECTOR. OPS CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.",WING ANTI-ICE DAMAGED
THE FLIGHT CREW REPORTED DURING FLIGHT AN AMBER CAS MESSAGE FUEL BOOST PUMP ON RH CAME ON AFTER TURNING FUEL TRANSFER FROM THE LEFT SIDE BACK TO OFF. THE MAINTENANCE VENDOR FOUND THE RIGHT HAND MOTIVE FLOW VALVE P/N 26430-05 S/N 0093 WAS DEFECTIVE. THE VALVE WAS REMOVED AND REPLACED WITH A REPAIRED UNIT. OPS AND LEAK CHECKS WERE SATISFACTORY. THE AIRCRAFT THEN WAS RETURNED TO SERVICE.,FUEL SYSTEM DEFECTIVE
